/カウンタ,移動パターン,敵の種類,x座標,y座標,スピード,発車時間,弾幕種類,弾種類,待機時間
/timer,movetype,type,x,y,speed,bltime,bltype,bltype2,wait
100,0,0,190,-20,0,60,0,7,180
90,0,0,130,-20,0,60,0,7,180
80,0,0,270,-20,0,60,0,7,180
70,0,0,310,-20,0,60,0,7,180
70,0,0,390,-20,0,60,0,7,180
80,0,0,430,-20,0,60,0,7,180
90,0,0,450,-20,0,60,0,7,180
100,0,0,470,-20,0,60,0,7,180
/,,,,,,,,,
550,5,0,200,-20,0,60,0,7,180
570,5,0,180,-20,0,60,0,7,180
590,5,0,200,-20,0,60,0,7,180
610,5,0,180,-20,0,60,0,7,180
/,,,,,,,,,
670,6,0,360,-20,0,60,0,7,180
690,6,0,420,-20,0,60,0,7,180
710,6,0,380,-20,0,60,0,7,180
730,6,0,440,-20,0,60,0,7,180
/,,,,,,,,,
850,5,0,340,-20,0,60,2,8,180
870,5,0,280,-20,0,60,2,8,180
890,5,0,320,-20,0,60,2,8,180
910,5,0,360,-20,0,60,2,8,180
/,,,,,,,,,
970,6,0,60,-20,0,60,2,8,180
990,6,0,120,-20,0,60,2,8,180
1010,6,0,80,-20,0,60,2,8,180
1030,6,0,140,-20,0,60,2,8,180
/,,,,,,,,,
1200,9,0,90,100,0,10,4,8,360
1200,9,0,290,100,0,60,5,8,360
/,,,,,,,,,
1700,0,0,190,-20,0,60,1,3,180
1720,0,0,130,-20,0,60,1,3,180
1740,0,0,270,-20,0,60,1,3,180
1760,0,0,310,-20,0,60,1,3,180
1780,0,0,390,-20,0,60,1,3,180
1800,0,0,430,-20,0,60,1,3,180
1820,0,0,450,-20,0,60,1,3,180
1840,0,0,470,-20,0,60,1,3,180
/停滞ショット,,,,,,,,,
2000,9,0,90,100,0,10,4,5,360
2000,9,0,470,100,0,10,4,5,360
/停滞ショット,,,,,,,,,
2400,9,0,140,100,0,10,5,6,360
2400,9,0,470,100,0,10,5,6,360
